ModelName,PlistName,Ipname
CHNPRR0,array_pbist_sino_mclk_SRHIAF4_core_ssa_meu_ks_mlc_list,
CHNPRR0,array_pbist_sino_mclk_SRHIAF5_core_ssa_meu_ks_mlc_list,
CHNPRR0,array_pbist_sino_mclk_SRHIAF6_core_ssa_meu_ks_mlc_list,
CHNPRR0,array_pbist_sino_mclk_SRHIAF7_core_ssa_meu_ks_mlc_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF0_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF4_ccf_cbo_lsa_llc_cvlrusta_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF4_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF4_ccf_ccfrf_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_lsa_llc_ks_llc_sta012345_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_lsa_llc_ks_llc_sta6789_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_lsa_llc_ks_llc_sta_burstoff_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_lsa_llc_ks_llc_sta_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_lsa_rf_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_ssa_llc_ks_llc_dtp_burstoff_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_CHKRINGF7_ccf_ccfrf_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF1_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF2_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF3_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF4_ccf_cbo_lsa_llc_cvlrusta_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF4_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF4_ccf_ccfrf_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF5_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF7_ccf_cbo_lsa_llc_cvlrusta_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF7_ccf_cbo_lsa_rf_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF7_ccf_cbo_ssa_llc_ks_llc_dtp_list,
CHNPRR0,array_pbist_sino_uclk_SRHRINGF7_ccf_ccfrf_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_lsa_chkgtsmf1_media_fullring_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_lsa_chkgtusf1_render_fullring_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_lsa_srhgtsmf1_media_fullring_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_lsa_srhgtusf1_render_fullring_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_lsa_srhgtusf2_render_fullring_list,
CHNPRR0,array_pbist_taptap_vccgt_ks_gt_lfm_Flat_ssa_srhgtusf2_fullring_list,
CHNPRR0,array_pbist_tino_mclk_CHKIAF1_core_ssa_pmucs_list,
CHNPRR0,array_pbist_tino_mclk_SRHIAF1_core_ssa_pmucs_list,
CHNPRR0,scn_ccf_x_vccia_x_CHKRINGF4_sNs_edt_gbo_ca2tf_list,
CHNPRR0,scn_ccf_x_vccia_x_CHKRINGF6_sNs_edt_gbo_ca2tf_list,
CHNPRR0,scn_ccf_x_vccia_x_SRHRINGF4_sNs_edt_gbo_ca2tf_list,
